"gene","gene.name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C102590CA","pyridoxine biosynthesis protein",28052.7950017401,2.54775475869495,0.252792517701398,3.8467076998355e-25,2.56532662382363e-22
"CAALFM_C102600WA","putative pyridoxal 5'-phosphate synthase",2442.20991117495,1.18964710270066,0.284417283894782,1.1570979537004e-06,0.000578741826509151
"CAALFM_C203370WA","trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase",3682.20428227489,4.44655671691203,0.22838122038092,1.12248964276904e-85,1.1228638059833e-82
"CAALFM_C204580WA","bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase",5087.6829200704,1.01387574706897,0.174453836270501,2.80012835015406e-10,1.52785185069315e-07
"CAALFM_C302860WA","bifunctional hydroxyethylthiazole kinase/thiamine-phosphate diphosphorylase",4665.24953001509,4.68173370830889,0.199923344941544,1.67974541343184e-122,3.36061065713931e-119
"CAALFM_C302870CA","uncharacterized protein",303.654551331314,1.20927705398616,0.391277368143484,6.79351446171341e-05,0.0313651336916953
"CAALFM_C305130CA","thiamine thiazole synthase",148044.565079694,11.5456384200033,0.517948602213712,2.79421286485788e-111,4.19271640371924e-108
"CAALFM_C404220WA","Duo1p",320.155908111694,1.71097878786759,0.257620380480082,1.40197162144488e-12,8.41463367191216e-10
"CAALFM_C404230WA","uncharacterized protein",7902.06011388958,5.16279122201144,0.204469980765829,3.91055951768866e-142,2.34711782251673e-138
"CAALFM_C503480CA","uncharacterized protein",19328.8279198299,3.88761275460109,0.199081798742487,1.90461341687685e-86,2.28629794561897e-83
"CAALFM_CR09290WA","4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase",71545.15853897,9.3099498571774,0.496803532547939,1.50458492473552e-79,1.29007410260894e-76
"CAALFM_CR09350CA","uncharacterized protein",1174.7420332167,8.17393601576178,0.338096693096371,4.20526180644151e-129,1.2619990681131e-125
"CAALFM_CR09360WA","Fcy24p",7084.39049298342,6.34557068702908,0.499956694802146,3.50767659618059e-38,2.63163436628449e-35
